id;pre_category;pre_explanation
1;convergence Idaho customized;synthesize Bahrain
2;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account
3;Belize Dollar Bacon;Investment Account Rwanda Customer
4;Liaison copy program;hack Electronics Oklahoma
5;Cambridgeshire navigate Licensed;Fantastic indexing
6;Investment Account;haptic Shoes
7;models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI)
8;port Money Market Account;Chips National Idaho
9;vortals value-added;Salad Connecticut
10;Generic Advanced;HDD Security Virginia
